Insee;Nom;Altitude;code_postal;longitude_radian;latitude_radian;pop99;surface
69156;Pommiers;320;69480;0.081914116342281;0.80207088340189;1804;7.74
69157;Pontcharra-sur-Turdine;340;69490;0.078355575526582;0.80066493408342;2136;4.77
69158;Pont-Trambouze;430;69240;0.075252784797179;0.80410227610237;548;4.06
69159;Pouilly-le-Monial;280;69400;0.081104473759005;0.80211455924377;721;3.80
69160;Poule-les-Écharmeaux;580;69870;0.077798051074752;0.80545489562003;834;31.34
69161;Propières;655;69790;0.077434446362172;0.8062160936386;419;16.31
69162;Quincié-en-Beaujolais;320;69430;0.080590575214782;0.80492159761174;1121;22.01
69163;Quincieux;179;69650;0.083407350765488;0.80135822149419;2657;17.91
69164;Ranchal;717;69470;0.076755706468852;0.80512526285611;267;15.14
69165;Régnié-Durette;320;69430;0.081012369997181;0.80521248138181;905;11.71
69166;Riverie;710;69440;0.080115467276311;0.79589441362275;267;0.39
69167;Rivolet;325;69640;0.080289995873874;0.80298721055397;488;16.16
69168;Rochetaillée-sur-Saône;167;69270;0.084391521946327;0.80007344600531;1134;1.36
69169;Ronno;542;69550;0.076493909411319;0.80257994664426;596;23.03
69170;Rontalon;490;69510;0.080852380594694;0.79693670829437;896;12.66
69171;Sain-Bel;245;69210;0.080270604732188;0.79956444934196;1919;3.82
69172;Salles-Arbuissonnas-en-Beaujolais;300;69460;0.080852380594694;0.80357383836308;629;4.39
69173;Sarcey;360;69490;0.079572473697181;0.80077159368506;784;10.08
69174;Les Sauvages;734;69170;0.076411492897959;0.80156668042851;575;12.55
69175;Savigny;290;69210;0.079814887935404;0.79964680759868;1797;21.31
69176;Soucieu-en-Jarrest;330;69510;0.082093496886454;0.79725189340939;3214;14.24
69177;Sourcieux-les-Mines;400;69210;0.080682695621364;0.79946744369925;1762;9.96
69178;Souzy;520;69610;0.077618670530578;0.79775123611378;578;5.10
69179;Saint-Andéol-le-Château;320;69700;0.081981993660564;0.79562290434962;1379;9.92
69180;Saint-André-la-Côte;850;69440;0.080309387015561;0.79640827055508;182;4.84
69181;Saint-Appolinaire;701;69170;0.077211431588014;0.80243939831773;110;5.71
69182;Saint-Bonnet-des-Bruyères;510;69790;0.077991970814002;0.80758322738419;384;21.25
69183;Saint-Bonnet-le-Troncy;700;69870;0.077264744744085;0.80435434429955;273;15.46
69184;Sainte-Catherine;691;69440;0.079766401758808;0.7958701122778;856;13.71
69185;Saint-Christophe;530;69860;0.079267042409661;0.80742809825069;233;14.58
69186;Saint-Clément-de-Vers;560;69790;0.076804192645448;0.80679786117873;213;8.93
69187;Saint-Clément-les-Places;640;69930;0.077211431588014;0.79853660231924;536;12.49
69188;Saint-Clément-sur-Valsonne;368;69170;0.077730173756469;0.80154730593158;546;14.62
69189;Sainte-Colombe;160;69560;0.084968437539844;0.7945950573269;1808;1.59
69190;Sainte-Consorce;401;69280;0.081851090970608;0.79895838045688;1608;5.96
69191;Saint-Cyr-au-Mont-d'Or;320;69450;0.084115169048961;0.79958868410788;5392;7.24
69192;Saint-Cyr-le-Chatoux;694;69870;0.079499744432285;0.80333628439384;107;6.23
69193;Saint-Cyr-sur-le-Rhône;200;69560;0.084696953233846;0.79441569342749;960;6.08
69194;Saint-Didier-au-Mont-d'Or;340;69370;0.083761268229603;0.79955958907298;6154;8.36
69195;Saint-Didier-sous-Riverie;510;69440;0.080459680847204;0.79582650301495;1148;13.97
69196;Saint-Didier-sur-Beaujeu;425;69430;0.079286433551348;0.80557127575966;402;14.48
